use,63340
model,50512
result,41582
paper,35468
problem,35351
show,34559
algorithm,33365
system,33323
method,32688
data,30708
base,30433
time,29488
function,28409
present,27205
two,26711
studi,26602
propos,25878
such,25640
set,25612
comput,24700
one,23477
general,22230
space,22079
number,20986
approach,20895
new,20821
structur,20316
between,20136
estim,19790
provid,19462
network,19332
distribut,19081
differ,18982
group,18493
relat,18468
theori,17980
field,17934
case,17926
process,17530
measur,17358
applic,17298
perform,17151
order,16100
complex,15966
develop,15858
algebra,15525
properti,15394
effect,15261
consid,15118
obtain,14982
prove,14960
non,14872
first,14853
analysi,14635
high,14613
well,14548
state,14402
oper,14298
more,14186
optim,14133
over,14120
inform,14102
work,13648
both,13611
condit,13606
point,13398
class,13386
bound,13346
under,13198
graph,13158
linear,13137
simul,12961
paramet,12912
given,12792
energi,12719
exist,12716
solut,12648
finit,12635
generat,12489
observ,12438
larg,12318
construct,12274
each,12218
give,12187
techniqu,12132
dynam,11993
describ,11928
equat,11798
valu,11797
effici,11776
local,11766
introduc,11741
approxim,11698
design,11666
type,11447
term,11178
test,11095
particular,11078
appli,10905
allow,10830
deriv,10736
depend,10537
defin,10503
discuss,10423
form,10326
mani,10291
imag,10241
compar,10048
exampl,9943
find,9854
requir,9783
possibl,9740
learn,9656
includ,9639
sampl,9579
dimension,9552
random,9501
demonstr,9484
sever,9400
scale,9362
experi,9351
recent,9343
known,9306
direct,9211
real,9141
control,9107
investig,9092
power,9004
simpl,8922
limit,8850
natur,8836
statist,8823
improv,8811
numer,8752
rate,8714
implement,8533
import,8532
variabl,8505
size,8469
framework,8393
shown,8370
object,8331
level,8256
mean,8210
program,8160
determin,8154
featur,8041
electron,7984
complet,7957
physic,7956
quantum,7940
integr,7917
probabl,7909
interact,7906
map,7904
experiment,7837
addit,7811
user,7761
wave,7745
consist,7742
call,7736
mechan,7705
polynomi,7681
associ,7681
connect,7590
predict,7584
three,7557
extend,7514
theorem,7510
increas,7485
represent,7473
theoret,7448
main,7408
flow,7328
calcul,7320
particl,7307
through,7300
scheme,7213
posit,7201
cluster,7184
make,7168
specif,7150
close,7126
evalu,7034
veri,6997
densiti,6995
correspond,6971
same,6940
way,6938
surfac,6920
classic,6914
solv,6912
small,6893
matrix,6892
howev,6872
multipl,6841
second,6830
potenti,6785
product,6765
research,6714
free,6695
previous,6689
combin,6686
here,6665
factor,6594
achiev,6592
similar,6577
select,6569
singl,6529
compon,6492
dimens,6478
detect,6474
respect,6464
reduc,6410
signific,6397
languag,6384
frequenc,6375
domain,6362
transform,6361
rang,6332
extens,6324
interest,6324
low,6291
lead,6272
standard,6270
chang,6260
proof,6253
error,6207
due,6194
current,6157
strong,6131
character,6107
final,6093
independ,6082
beam,6052
analyz,6007
continu,5976
certain,5896
various,5892
sequenc,5885
magnet,5852
express,5843
minim,5814
out,5804
support,5793
node,5789
converg,5785
sourc,5781
manifold,5768
modul,5758
phase,5750
project,5716
within,5693
found,5690
atom,5670
vector,5669
invari,5663
even,5662
tool,5649
asymptot,5632
part,5614
follow,5613
need,5613
logic,5607
optic,5567
equival,5563
repres,5480
constant,5472
regular,5464
establish,5456
signal,5435
topolog,5398
concept,5383
categori,5369
constraint,5307
contain,5247
weight,5187
formula,5170
identifi,5152
ring,5115
element,5106
behavior,5062
univers,5027
code,5024
degre,5021
procedur,5007
focus,4980
metric,4959
analyt,4935
adapt,4922
search,4916
thus,4916
without,4906
correl,4897
cost,4891
novel,4867
task,4833
distanc,4785
light,4778
context,4758
question,4755
special,4750
compact,4749
characterist,4741
those,4729
normal,4695
open,4671
practic,4667
transit,4662
pattern,4654
