"id","category"
"0","cs"
"1","stat"
"2","physics"
"3","cs"
"4","math"
"5","cs"
"6","physics"
"7","math"
"8","cs"
"9","math"
"10","stat"
"11","math"
"12","physics"
"13","cs"
"14","cs"
"15","cs"
"16","stat"
"17","physics"
"18","cs"
"19","stat"
"20","math"
"21","physics"
"22","stat"
"23","cs"
"24","cs"
"25","stat"
"26","physics"
"27","cs"
"28","math"
"29","physics"
"30","cs"
"31","math"
"32","physics"
"33","stat"
"34","cs"
"35","physics"
"36","cs"
"37","physics"
"38","stat"
"39","math"
"40","stat"
"41","cs"
"42","cs"
"43","math"
"44","cs"
"45","physics"
"46","physics"
"47","cs"
"48","physics"
"49","physics"
"50","stat"
"51","math"
"52","physics"
"53","cs"
"54","cs"
"55","cs"
"56","cs"
"57","math"
"58","physics"
"59","stat"
"60","math"
"61","stat"
"62","physics"
"63","stat"
"64","math"
"65","physics"
"66","stat"
"67","physics"
"68","math"
"69","stat"
"70","physics"
"71","physics"
"72","stat"
"73","physics"
"74","math"
"75","physics"
"76","stat"
"77","cs"
"78","physics"
"79","physics"
"80","math"
"81","math"
"82","physics"
"83","physics"
"84","physics"
"85","stat"
"86","math"
"87","stat"
"88","physics"
"89","physics"
"90","cs"
"91","cs"
"92","cs"
"93","physics"
"94","cs"
"95","physics"
"96","stat"
"97","cs"
"98","stat"
"99","cs"
"100","stat"
"101","stat"
"102","physics"
"103","physics"
"104","physics"
"105","stat"
"106","physics"
"107","physics"
"108","cs"
"109","physics"
"110","math"
"111","physics"
"112","math"
"113","cs"
"114","cs"
"115","cs"
"116","physics"
"117","cs"
"118","math"
"119","cs"
"120","physics"
"121","physics"
"122","cs"
"123","stat"
"124","cs"
"125","math"
"126","cs"
"127","math"
"128","math"
"129","cs"
"130","math"
"131","math"
"132","math"
"133","physics"
"134","cs"
"135","cs"
"136","cs"
"137","cs"
"138","stat"
"139","physics"
"140","physics"
"141","stat"
"142","physics"
"143","physics"
"144","math"
"145","cs"
"146","stat"
"147","math"
"148","physics"
"149","math"
"150","stat"
"151","stat"
"152","stat"
"153","physics"
"154","cs"
"155","physics"
"156","cs"
"157","cs"
"158","physics"
"159","cs"
"160","cs"
"161","cs"
"162","math"
"163","math"
"164","math"
"165","cs"
"166","math"
"167","stat"
"168","stat"
"169","stat"
"170","stat"
"171","math"
"172","cs"
"173","cs"
"174","cs"
"175","math"
"176","math"
"177","cs"
"178","physics"
"179","cs"
"180","physics"
"181","cs"
"182","math"
"183","cs"
"184","math"
"185","math"
"186","physics"
"187","cs"
"188","math"
"189","math"
"190","stat"
"191","physics"
"192","stat"
"193","math"
"194","cs"
"195","physics"
"196","cs"
"197","cs"
"198","stat"
"199","physics"
"200","cs"
"201","physics"
"202","cs"
"203","cs"
"204","stat"
"205","math"
"206","math"
"207","physics"
"208","math"
"209","math"
"210","stat"
"211","stat"
"212","math"
"213","cs"
"214","math"
"215","stat"
"216","physics"
"217","physics"
"218","math"
"219","math"
"220","physics"
"221","cs"
"222","cs"
"223","physics"
"224","physics"
"225","math"
"226","cs"
"227","math"
"228","math"
"229","cs"
"230","math"
"231","cs"
"232","cs"
"233","math"
"234","physics"
"235","cs"
"236","cs"
"237","math"
"238","physics"
"239","math"
"240","math"
"241","stat"
"242","cs"
"243","math"
"244","physics"
"245","physics"
"246","cs"
"247","stat"
"248","physics"
"249","math"
"250","physics"
"251","math"
"252","physics"
"253","cs"
"254","physics"
"255","stat"
"256","math"
"257","cs"
"258","physics"
"259","cs"
"260","stat"
"261","math"
"262","stat"
"263","physics"
"264","stat"
"265","physics"
"266","cs"
"267","cs"
"268","physics"
"269","cs"
"270","physics"
"271","physics"
"272","cs"
"273","cs"
"274","math"
"275","math"
"276","physics"
"277","physics"
"278","stat"
"279","physics"
"280","cs"
"281","physics"
"282","physics"
"283","physics"
"284","cs"
"285","cs"
"286","physics"
"287","cs"
"288","cs"
"289","math"
"290","cs"
"291","math"
"292","physics"
"293","math"
"294","math"
"295","physics"
"296","stat"
"297","cs"
"298","physics"
"299","cs"
"300","math"
"301","cs"
"302","math"
"303","physics"
"304","physics"
"305","cs"
"306","cs"
"307","cs"
"308","physics"
"309","cs"
"310","math"
"311","physics"
"312","stat"
"313","cs"
"314","physics"
"315","stat"
"316","cs"
"317","cs"
"318","physics"
"319","physics"
"320","cs"
"321","math"
"322","cs"
"323","physics"
"324","cs"
"325","stat"
"326","math"
"327","physics"
"328","stat"
"329","math"
"330","cs"
"331","stat"
"332","cs"
"333","physics"
"334","physics"
"335","physics"
"336","cs"
"337","cs"
"338","physics"
"339","cs"
"340","stat"
"341","cs"
"342","cs"
"343","stat"
"344","physics"
"345","cs"
"346","stat"
"347","physics"
"348","physics"
"349","physics"
"350","math"
"351","cs"
"352","math"
"353","stat"
"354","stat"
"355","cs"
"356","stat"
"357","stat"
"358","cs"
"359","math"
"360","cs"
"361","cs"
"362","physics"
"363","math"
"364","cs"
"365","stat"
"366","math"
"367","stat"
"368","math"
"369","physics"
"370","math"
"371","physics"
"372","stat"
"373","cs"
"374","math"
"375","math"
"376","math"
"377","physics"
"378","math"
"379","cs"
"380","cs"
"381","physics"
"382","cs"
"383","math"
"384","math"
"385","math"
"386","math"
"387","cs"
"388","cs"
"389","cs"
"390","stat"
"391","math"
"392","math"
"393","math"
"394","math"
"395","physics"
"396","math"
"397","cs"
"398","physics"
"399","cs"
"400","physics"
"401","cs"
"402","physics"
"403","cs"
"404","math"
"405","math"
"406","stat"
"407","cs"
"408","cs"
"409","cs"
"410","math"
"411","cs"
"412","physics"
"413","physics"
"414","physics"
"415","physics"
"416","cs"
"417","stat"
"418","cs"
"419","stat"
"420","physics"
"421","stat"
"422","math"
"423","physics"
"424","stat"
"425","cs"
"426","stat"
"427","stat"
"428","cs"
"429","cs"
"430","physics"
"431","stat"
"432","math"
"433","physics"
"434","cs"
"435","cs"
"436","physics"
"437","physics"
"438","cs"
"439","math"
"440","cs"
"441","cs"
"442","cs"
"443","cs"
"444","cs"
"445","math"
"446","physics"
"447","cs"
"448","math"
"449","cs"
"450","math"
"451","physics"
"452","math"
"453","cs"
"454","math"
"455","physics"
"456","cs"
"457","cs"
"458","cs"
"459","physics"
"460","physics"
"461","stat"
"462","cs"
"463","cs"
"464","math"
"465","stat"
"466","physics"
"467","cs"
"468","physics"
"469","physics"
"470","cs"
"471","cs"
"472","physics"
"473","physics"
"474","cs"
"475","math"
"476","physics"
"477","math"
"478","physics"
"479","physics"
"480","cs"
"481","physics"
"482","math"
"483","physics"
"484","physics"
"485","cs"
"486","physics"
"487","math"
"488","cs"
"489","cs"
"490","math"
"491","physics"
"492","cs"
"493","cs"
"494","cs"
"495","physics"
"496","stat"
"497","math"
"498","cs"
"499","cs"
"500","cs"
"501","math"
"502","stat"
"503","cs"
"504","math"
"505","cs"
"506","physics"
"507","math"
"508","math"
"509","cs"
"510","cs"
"511","math"
"512","cs"
"513","physics"
"514","math"
"515","cs"
"516","math"
"517","physics"
"518","cs"
"519","math"
"520","cs"
"521","stat"
